inefficiencies
Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Author name,Cloud provider,Cloud service,Inefficiency Type,Service Category,Explanation,Relevant Billing Model,Detection,Remediation,Relevant Documentation,Show on popular,Show on community picks,Intro text,Definition ID,Example Cost Savings,CER:
Always-On PTUs for Seasonal or Cyclical Azure OpenAI Workloads,always-on-ptus-for-seasonal-or-cyclical-azure-openai-workloads-ccb97,682077b786159f81bf47f152,682077b786159f81bf47f0b2,693e80e042bd81767e0a979d,FALSE,FALSE,Sun Dec 14 2025 09:18:24 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:31:18 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:48:50 GMT+0000 (Coordinated Universal Time),Ariel Lichterman,azure,azure-cognitive-services,unnecessary-continuous-provisioning,ai,"<p id="""">Many Azure OpenAI workloads—such as reporting pipelines, marketing workflows, batch inference jobs, or time-bound customer interactions—only run during specific periods. When PTUs remain fully provisioned 24/7, organizations incur continuous fixed cost even during extended idle time. Although Azure does not offer native PTU scheduling, teams can use automation to provision and deprovision PTUs based on predictable cycles. This allows them to retain performance during peak windows while reducing cost during low-activity periods.</p>","<p id="""">PTUs are billed for every hour they remain provisioned. If workloads operate on weekly, monthly, or seasonal cycles, keeping PTUs active outside of demand windows results in paying for idle dedicated capacity.</p>","<ul id=""""><li id="""">Identify PTU-backed workloads with recurring or predictable activity patterns</li><li id="""">Review utilization trends showing regular periods of inactivity despite continuous PTU allocation</li><li id="""">Evaluate whether workload timing aligns with business cycles, reporting schedules, or seasonal events</li><li id="""">Assess whether PTUs remain active during nights, weekends, or large idle blocks</li></ul>","<ul id=""""><li id="""">Use automation to scale PTUs up and down according to expected workload schedules</li><li id="""">Provision PTUs only during windows where predictable throughput and low latency are required</li><li id="""">Establish scheduling policies for cyclical workloads to prevent unnecessary continuous provisioning</li><li id="""">Regularly re-evaluate patterns to ensure scheduling aligns with evolving business cycles</li></ul>","<ul id=""""><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/ai-services/openai/how-to/provisioned-throughput"" id="""">https://learn.microsoft.com/en-us/azure/ai-services/openai/how-to/provisioned-throughput</a></li></ul>",FALSE,FALSE,,,,Azure-AI-2017
Archival Blob Container Storing Objects in Non-Archival Tiers,archival-blob-container-storing-objects-in-non-archival-tiers,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b43f7704f33ce49c8d8,FALSE,FALSE,Thu May 22 2025 14:57:07 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,azure,azure-blob-storage,inefficient-configuration,storage,"<p id="""">This inefficiency occurs when a blob container intended for long-term or infrequently accessed data continues to store objects in higher-cost tiers like Hot or Cool, instead of using the Archive tier. This often happens when containers are created without lifecycle policies or default tier settings. Over time, storing archival data in non-archival tiers results in avoidable cost without any performance benefit, especially for compliance data, backups, or historical logs that rarely need to be accessed.</p>","<p id="""">Blob storage is billed based on the total volume of data stored per tier (Hot, Cool, Archive), with higher per-GB costs for tiers optimized for frequent access. The Hot tier has the highest storage cost but lowest access latency and transaction cost. Archive tier is the least expensive for storage but comes with higher data retrieval costs and latency. Cool tier sits in the middle. Costs accrue based on the selected tier, regardless of whether the data is actively used.</p>","<ul id=""""><li id="""">Identify blob containers with large volumes of data stored in the Hot or Cool tier</li><li id="""">Evaluate access patterns to confirm whether the data is rarely or never read</li><li id="""">Review whether the container’s data retention requirements align with archival use cases</li><li id="""">Check for the absence of lifecycle management rules or default tier settings</li><li id="""">Confirm with data owners that the objects do not require immediate or frequent retrieval</li></ul>","<p id="""">Transition eligible objects to the Archive tier to reduce long-term storage costs. Implement Azure Blob Lifecycle Management policies to automatically move data to lower-cost tiers based on age or last access time. When migrating existing objects, confirm that the retrieval latency and cost profile of the Archive tier aligns with business needs.</p>","<ul id=""""><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/storage/blobs/\&quot;"" id="""">Azure Blob Storage Pricing</a></li><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/storage/blobs/lifecycle-management-overview\"" id="""">Blob Lifecycle Management</a></li></ul>",FALSE,FALSE,,111,,<p>Azure-Storage-2119</p>
Azure Hybrid Benefit Not Enabled on SQL Databases,azure-hybrid-benefit-not-enabled-on-sql-databases-41927,682077b786159f81bf47f152,682077b786159f81bf47f0b2,693e80df5c6143ecb7bea792,FALSE,FALSE,Sun Dec 14 2025 09:18:23 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:26:22 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:48:50 GMT+0000 (Coordinated Universal Time),,azure,azure-sql,licensing-configuration-gap,databases,"<p id="""">Azure Hybrid Benefit allows organizations to apply existing SQL Server licenses with Software Assurance or qualifying subscriptions to Azure SQL Databases. When this configuration is missed or not enforced, workloads continue to incur license-inclusive costs despite license ownership. This oversight often occurs in environments where licensing governance is decentralized or when databases are provisioned manually without applying existing entitlements. Across multiple databases or elastic pools, these duplicated license costs can accumulate substantially over time.</p>","<p id="""">Azure SQL Database charges for compute and storage. Compute pricing can be either license-inclusive (pay-as-you-go) or license-excluded (when Azure Hybrid Benefit is applied). If AHB is not enabled, eligible databases are billed at higher license-inclusive rates even though valid SQL Server licenses already exist, resulting in double payment.</p>","<ul id=""""><li id="""">Review all SQL Databases and Elastic Pools to determine if Azure Hybrid Benefit is enabled in their configuration</li><li id="""">Cross-reference SQL workloads with licensing records to confirm Software Assurance or subscription eligibility</li><li id="""">Identify databases still billed under license-inclusive (pay-as-you-go) rates despite license ownership</li><li id="""">Evaluate whether automated deployment templates or policies enforce AHB consistently across environments **Remediation:**</li><li id="""">Enable Azure Hybrid Benefit for all eligible SQL Databases and Elastic Pools to leverage owned licenses</li><li id="""">Apply Azure Policy to automatically enforce AHB configuration for new database deployments</li><li id="""">Centralize license management to ensure entitlements are applied consistently across subscriptions</li><li id="""">Periodically audit SQL Database configurations to confirm continued alignment with active Software Assurance coverage **Relevant Documentation:Contributor:** Aaran Bhambra **Definition ID:** N/A</li></ul>","<ul id=""""><li id="""">Enable Azure Hybrid Benefit for all eligible SQL Databases and Elastic Pools to leverage owned licenses</li><li id="""">Apply Azure Policy to automatically enforce AHB configuration for new database deployments</li><li id="""">Centralize license management to ensure entitlements are applied consistently across subscriptions</li><li id="""">Periodically audit SQL Database configurations to confirm continued alignment with active Software Assurance coverage **Relevant Documentation:Contributor:** Aaran Bhambra **Definition ID:** N/A</li></ul>",,FALSE,FALSE,,,,Azure-Databases-8397
Azure Hybrid Benefit Not Enabled on Virtual Machines,azure-hybrid-benefit-not-enabled-on-virtual-machines-a8f4b,682077b786159f81bf47f152,682077b786159f81bf47f0b2,693e80df6593fb2d43573cd5,FALSE,FALSE,Sun Dec 14 2025 09:18:23 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:26:21 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:48:50 GMT+0000 (Coordinated Universal Time),Aaran Bhambra,azure,azure-virtual-machines,licensing-configuration-gap,compute,"<p id="""">Many organizations purchase Software Assurance or subscription-based Windows and SQL Server licenses that entitle them to use Azure Hybrid Benefit. However, if the setting is not applied on eligible resources, Azure continues charging pay-as-you-go rates that already include Microsoft licensing costs. This oversight results in paying twice—once for the on-premises license and once for the built-in Azure license. The inefficiency often goes unnoticed because licensing configurations are not centrally validated or enforced. Enabling AHUB can reduce costs by up to 40% for Windows server VMs and up to 30% for SQL Databases.</p>","<p id="""">Azure bills Windows and SQL-based VMs either as license-inclusive (pay-as-you-go) or license-excluded (when Azure Hybrid Benefit is applied). Without AHB enabled, workloads that already own valid licenses are billed at the higher license-inclusive rate, resulting in duplicated spend.</p>","<ul id=""""><li id="""">Review all Windows and SQL Server virtual machines to determine if Azure Hybrid Benefit is enabled in their configuration</li><li id="""">Correlate VM licensing status with internal Software Assurance or Microsoft volume license records to confirm eligibility</li><li id="""">Evaluate the proportion of eligible VMs still billed at license-inclusive (pay-as-you-go) rates</li><li id="""">Check whether governance policies exist to enforce AHB application during provisioning</li></ul>","<ul id=""""><li id="""">Enable Azure Hybrid Benefit for all eligible Windows and SQL-based VMs to apply owned licenses and reduce compute costs</li><li id="""">Implement Azure Policy or blueprints to automatically enforce AHB for future deployments where eligibility applies</li><li id="""">Maintain an up-to-date inventory of licensed assets and ensure license entitlements align with deployed resources</li><li id="""">Regularly review licensing configuration compliance across subscriptions to prevent recurrence</li></ul>","<ul id=""""><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/windows/hybrid-use-benefit-licensing"" id="""">Azure Hybrid Benefit for Windows Server</a></li></ul>",FALSE,FALSE,,,,Azure-Compute-1255
Billing Account Migration Creating Emergency List-Price Purchases in Google Cloud Marketplace,billing-account-migration-creating-emergency-list-price-purchases-in-google-cloud-marketplace,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6908d58e0ae4b378aa3bc270,FALSE,FALSE,Mon Nov 03 2025 16:17:18 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:59 GMT+0000 (Coordinated Universal Time),Alexa Abbruscato,gcp,gcp-cloud-marketplace,subscription-disruption-due-to-billing-migration,other,"<p id="""">Changing a Google Cloud billing account can unintentionally break existing Marketplace subscriptions. If entitlements are tied to the original billing account, the subscription may fail or become invalid, prompting teams to make urgent, direct purchases of the same services, often at higher list or on-demand rates. These emergency purchases bypass previously negotiated Marketplace pricing and can result in significantly higher short-term costs. The issue is common during reorganizations, mergers, or changes to billing hierarchy and is often not discovered until after costs have spiked.</p>","<p id="""">Subscription-based billing through Google Cloud Marketplace; defaults to on-demand or direct-vendor list pricing when Marketplace entitlements are interrupted.</p>","<ul id=""""><li id="""">Review billing changes or migrations and identify any correlated increases in list-price or on-demand service charges</li><li id="""">Analyze invoice data for new direct purchases following a billing account switch</li><li id="""">Identify gaps in Marketplace subscription continuity during or after billing hierarchy updates</li><li id="""">Check for duplicated services: one via Marketplace, the other via direct vendor or on-demand</li><li id="""">Confirm whether Marketplace entitlements were invalidated or paused during billing transitions</li></ul>","<ul id=""""><li id="""">Secure fallback agreements with vendors prior to billing account changes to ensure service continuity</li><li id="""">Establish ""true-up"" clauses that allow emergency direct purchases to be retroactively priced at Marketplace rates</li><li id="""">Document and communicate subscription dependencies before initiating billing account migrations</li><li id="""">Coordinate billing migrations with vendor account teams to maintain entitlement continuity</li></ul>","<ul id=""""><li id=""""><a href=""https://cloud.google.com/marketplace/docs/overview"" id="""">https://cloud.google.com/marketplace/docs/overview</a></li><li id=""""><a href=""https://cloud.google.com/billing/docs/how-to/manage-billing-account"" id="""">https://cloud.google.com/billing/docs/how-to/manage-billing-account</a></li><li id=""""><a href=""https://cloud.google.com/marketplace/docs/manage-subscriptions"" id="""">https://cloud.google.com/marketplace/docs/manage-subscriptions</a></li></ul>",FALSE,FALSE,,N/A,,<p>GCP-Other-1612</p>
Business Critical Tier on Non-Production SQL Instance,business-critical-tier-on-non-production-sql-instance,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b460450b904e0d65a7d,FALSE,FALSE,Thu May 22 2025 14:57:10 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,azure,azure-sql,inefficient-configuration,databases,"<p id="""">Non-production environments such as development, testing, or staging often do not require the high availability, failover capabilities, and premium storage performance offered by the Business Critical tier. Running these workloads on Business Critical unnecessarily inflates costs. Choosing a lower-cost tier like General Purpose typically provides sufficient performance and availability for non-production use cases, significantly reducing ongoing database expenses.</p>","<p id="""">Azure SQL Database instances are billed based on the selected service tier, compute size (vCores), and storage consumption. The Business Critical tier provides the highest availability and performance, using additional replicas and premium storage, but comes at a significantly higher cost compared to lower tiers like General Purpose. Selecting an unnecessarily high tier for non-production workloads leads to elevated expenses without proportional business value.</p>","<ul id=""""><li id="""">Identify Azure SQL Database instances deployed in the Business Critical service tier</li><li id="""">Review associated workload environments to determine if the instance supports production or non-production use</li><li id="""">Assess application performance and availability requirements to confirm if Business Critical features are necessary</li><li id="""">Evaluate whether General Purpose or Hyperscale tiers would adequately meet workload needs</li><li id="""">Validate findings with application owners, development teams, or database administrators before making changes</li></ul>","<ul id=""""><li id="""">Migrate non-production SQL instances from the Business Critical tier to a lower-cost alternative, such as General Purpose.</li><li id="""">Use downtime windows or database copy strategies to minimize risk during tier transitions, depending on instance size and availability requirements.</li><li id="""">Monitor performance after migration to ensure the workload remains stable and meets operational needs.</li><li id="""">Update deployment templates and provisioning practices to avoid defaulting non-production instances to the Business Critical tier going forward.</li></ul>","<ul id=""""><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/service-tiers-general-purpose-business-critical-hyperscale\&quot;"" id="""">Azure SQL Database Service Tiers</a></li><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/azure-sql-database/single/\"" id="""">Azure SQL Database Pricing</a></li></ul>",FALSE,FALSE,,113,,<p>Azure-Databases-5008</p>
Continuous AWS Config Recording in Non-Production Environments,continuous-aws-config-recording-in-non-production-environments,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6908d58eb2b51da41a6420c1,FALSE,FALSE,Mon Nov 03 2025 16:17:18 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:56 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:56 GMT+0000 (Coordinated Universal Time),Jérémy Nancel,aws,aws-config,excessive-recording-frequency,other,"<p id="""">By default, AWS Config is enabled in continuous recording mode. While this may be justified for production workloads where detailed auditability is critical, it is rarely necessary in non-production environments. Frequent changes in development or testing environments — such as redeploying Lambda functions, ECS tasks, or EC2 instances — generate large volumes of CIRs. This results in disproportionately high costs with minimal benefit to governance or compliance. Switching non-production environments to daily recording reduces CIR volume significantly while maintaining sufficient visibility for tracking changes.</p>","<p id="""">AWS Config charges per Configuration Item Recorded (CIR). Continuous mode generates a CIR for every resource change, while daily mode generates a maximum of one CIR per resource per day. In non-production environments with frequent deployments or updates, continuous mode creates unnecessary cost without meaningful compliance value.</p>","<ul id=""""><li id="""">Review whether AWS Config is set to continuous recording in non-production accounts or environments</li><li id="""">Evaluate change frequency in development, QA, and staging systems to estimate unnecessary CIR volume</li><li id="""">Confirm whether governance or compliance requirements justify continuous recording in these environments</li><li id="""">Assess consistency of recording settings across production vs. non-production accounts</li></ul>","<ul id=""""><li id="""">Update AWS Config settings in non-production accounts to daily recording frequency instead of continuous</li><li id="""">Apply environment-specific configuration baselines to enforce lower granularity tracking outside of production</li><li id="""">Validate that compliance and auditing needs remain satisfied after reducing recording frequency</li></ul>",,FALSE,FALSE,,N/A,,<p>AWS-Other-6716</p>
Delayed Transition of Objects to Intelligent-Tiering in an S3 Bucket,delayed-transition-of-objects-to-intelligent-tiering-in-an-s3-bucket,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b41e507026472042b2b,FALSE,FALSE,Thu May 22 2025 14:57:05 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,aws,aws-s3,inefficient-configuration,storage,"<p id="""">Some S3 lifecycle policies are configured to transition objects from Standard storage to Intelligent-Tiering after a fixed number of days (e.g., 30 days). This creates a delay where objects reside in S3 Standard, incurring higher storage costs without benefit. Since Intelligent-Tiering does not require prior access history and can be used immediately, it is often more efficient to place objects directly into Intelligent-Tiering at the time of upload. Lifecycle transitions introduce unnecessary intermediate costs that can be avoided entirely through configuration changes.</p>","<p id="""">S3 storage is billed per GB per month, with rates varying by storage class.</p><ul id=""""><li id="""">S3 Standard is the default and most expensive tier for frequently accessed data.</li><li id="""">Intelligent-Tiering includes a small per-object monitoring and automation fee but automatically transitions data to lower-cost tiers based on access patterns.</li><li id="""">When objects are uploaded to S3 Standard and later transitioned to Intelligent-Tiering using a lifecycle policy, you incur:</li><li id="""">S3 Standard rates during the delay period, and</li><li id="""">Transition request fees for moving the object</li></ul><p id="""">Uploading directly into Intelligent-Tiering avoids both of these.</p>","<ul id=""""><li id="""">Identify buckets where Intelligent-Tiering is the intended or primary storage class</li><li id="""">Review how new objects are placed into those buckets—determine whether they are uploaded directly into Intelligent-Tiering or initially stored in S3 Standard and later moved to Intelligent-Tiering via a Lifecycle Policy</li><li id="""">Evaluate whether the delay provides any functional or operational benefit, or if it is a legacy configuration</li><li id="""">Confirm with application owners or data teams whether objects can be placed directly into Intelligent-Tiering at time of upload</li></ul>","<p id="""">Configure applications and upload processes to default new objects directly into the S3 Intelligent-Tiering storage class. If application-level changes aren’t feasible, update lifecycle rules to transition objects on day 0. This minimizes time spent in the more expensive S3 Standard tier and avoids transition request fees.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/s3/storage-classes/"" id="""">S3 Storage Classes</a></li><li id=""""><a href=""https://aws.amazon.com/s3/pricing/"" id="""">S3 Pricing</a></li></ul>",FALSE,FALSE,,50,,<p>AWS-Storage-4583</p>
Delete-on-Termination Disabled for EBS Volume,delete-on-termination-disabled-for-ebs-volume,682077b786159f81bf47f152,682077b786159f81bf47f0b2,68589418749d147775bb8925,FALSE,FALSE,Sun Jun 22 2025 23:39:04 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),Dvir Mizrahi,aws,aws-ebs,misconfiguration-leading-to-future-orphaned-resource,storage,"<p id="""">When EC2 instances are provisioned, each attached EBS volume has a `DeleteOnTermination` flag that determines whether it will be deleted when the instance is terminated. If this flag is set to `false` — often unintentionally in custom launch templates, AMIs, or older automation scripts — volumes persist after termination, resulting in orphaned storage. While detached volumes are easy to detect and clean up after the fact, proactively identifying attached volumes with `DeleteOnTermination=false` can prevent future waste before it occurs.</p>","<p id="""">EBS volumes are billed per GB-month of provisioned storage. If a volume is not automatically deleted when its EC2 instance is terminated, charges continue to accrue even if the volume is no longer in use.</p>","<ul id=""""><li id="""">The volume is attached to an active EC2 instance</li><li id="""">The `DeleteOnTermination` flag is set to `false`</li><li id="""">The instance is not intended to retain persistent data on termination (e.g., ephemeral workloads or stateless apps)</li></ul>","<ul id=""""><li id="""">Update the instance configuration to set `DeleteOnTermination=true` for non-persistent volumes</li><li id="""">Modify infrastructure-as-code templates and launch configurations to use the correct flag by default</li><li id="""">Establish policy controls or monitoring to flag instances with unnecessary persistent volume retention</li><li id="""">Periodically review long-lived instances for non-root volumes with this misconfiguration</li><li id="""">Educate engineering teams on the default behavior and risks of leaving the flag unset</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-volumes.html"" id="""">Amazon EBS Volume Lifecycle</a><br><a href=""https://docs.aws.amazon.com/cli/latest/reference/ec2/modify-instance-attribute.html"" id="""">ModifyInstanceAttribute – AWS CLI</a></p>",FALSE,FALSE,,,,<p>AWS-Storage-1070</p>
Disabled Retry Policies in EventBridge,disabled-retry-policies-in-eventbridge,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6858941b63a59b4ee44bda28,FALSE,FALSE,Sun Jun 22 2025 23:39:07 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:54 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:54 GMT+0000 (Coordinated Universal Time),Jarred Clore,aws,aws-eventbridge,misconfiguration,other,"<p id="""">By default, EventBridge includes retry mechanisms for delivery failures, particularly when targets like Lambda functions or Step Functions fail to process an event. However, if these retry policies are disabled or misconfigured, EventBridge may treat failed deliveries as successful, prompting upstream services to republish the same event multiple times in response to undelivered outcomes.  This leads to:  * Duplicate event publishing and delivery   * Unnecessary compute triggered by repeated events   * Increased EventBridge, downstream service, and data transfer costs  This behavior is especially problematic in systems where idempotency is not strictly enforced and retries are managed externally by upstream services.</p>","<p id="""">EventBridge charges are based on the number of events published to an event bus, including retries or duplicate events. Each event published — whether successful or redundant — incurs cost.</p>","<ul id=""""><li id="""">Review whether retry policies are explicitly disabled on EventBridge rules</li><li id="""">Check event bus logs or metrics for repeated identical events over short intervals</li><li id="""">Identify downstream targets receiving multiple identical invocations for the same source event</li><li id="""">Assess whether upstream services are implementing manual retry logic due to undelivered events</li><li id="""">Evaluate whether duplicate events align with downstream failures or outages</li></ul>","<ul id=""""><li id="""">Enable built-in retry policies on EventBridge rules to reduce reliance on external retry logic</li><li id="""">Confirm downstream targets are configured with error handling (e.g., DLQs, retry settings)</li><li id="""">Audit event patterns for high duplication rates and correlate with retry settings</li><li id="""">Consider using EventBridge archive and replay for reliable reprocessing when retries are disabled</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-quota.html"" id="""">Amazon EventBridge Quotas and Limits</a><br><a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide/eventbridge-event-delivery-retries.html"" id="""">EventBridge Event Retry Policy</a><br><a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-best-practices.html"" id="""">Best Practices for EventBridge</a></p>",FALSE,FALSE,,,,<p>AWS-Other-4734</p>
