cer_id,cloud_provider,focus_category,service,title,summary,severity,status
CER-002017,azure,focus_ai,azure-cognitive-services,Always-On PTUs for Seasonal or Cyclical Azure OpenAI Workloads,"Many Azure OpenAI workloads—such as reporting pipelines, marketing workflows, batch inference jobs, or time-bound customer interactions—only run during specific periods. When PTUs remain fully provisioned 24/7, organizations incur continuous fixed cost even during extended idle time. Although Azure does not offer native PTU scheduling, teams can use automation to provision and deprovision PTUs bas",medium,published
CER-002119,azure,focus_storage,azure-blob-storage,Archival Blob Container Storing Objects in Non-Archival Tiers,"This inefficiency occurs when a blob container intended for long-term or infrequently accessed data continues to store objects in higher-cost tiers like Hot or Cool, instead of using the Archive tier. This often happens when containers are created without lifecycle policies or default tier settings. Over time, storing archival data in non-archival tiers results in avoidable cost without any perfor",medium,published
CER-008397,azure,focus_database,azure-sql,Azure Hybrid Benefit Not Enabled on SQL Databases,"Azure Hybrid Benefit allows organizations to apply existing SQL Server licenses with Software Assurance or qualifying subscriptions to Azure SQL Databases. When this configuration is missed or not enforced, workloads continue to incur license-inclusive costs despite license ownership. This oversight often occurs in environments where licensing governance is decentralized or when databases are prov",medium,published
CER-001255,azure,focus_compute,azure-virtual-machines,Azure Hybrid Benefit Not Enabled on Virtual Machines,"Many organizations purchase Software Assurance or subscription-based Windows and SQL Server licenses that entitle them to use Azure Hybrid Benefit. However, if the setting is not applied on eligible resources, Azure continues charging pay-as-you-go rates that already include Microsoft licensing costs. This oversight results in paying twice—once for the on-premises license and once for the built-in",medium,published
CER-001612,gcp,focus_other,gcp-cloud-marketplace,Billing Account Migration Creating Emergency List-Price Purchases in Google Cloud Marketplace,"Changing a Google Cloud billing account can unintentionally break existing Marketplace subscriptions. If entitlements are tied to the original billing account, the subscription may fail or become invalid, prompting teams to make urgent, direct purchases of the same services, often at higher list or on-demand rates. These emergency purchases bypass previously negotiated Marketplace pricing and can ",medium,published
CER-005008,azure,focus_database,azure-sql,Business Critical Tier on Non-Production SQL Instance,"Non-production environments such as development, testing, or staging often do not require the high availability, failover capabilities, and premium storage performance offered by the Business Critical tier. Running these workloads on Business Critical unnecessarily inflates costs. Choosing a lower-cost tier like General Purpose typically provides sufficient performance and availability for non-pro",medium,published
CER-006716,aws,focus_other,aws-config,Continuous AWS Config Recording in Non-Production Environments,"By default, AWS Config is enabled in continuous recording mode. While this may be justified for production workloads where detailed auditability is critical, it is rarely necessary in non-production environments. Frequent changes in development or testing environments — such as redeploying Lambda functions, ECS tasks, or EC2 instances — generate large volumes of CIRs. This results in disproportion",medium,published
CER-004583,aws,focus_storage,aws-s3,Delayed Transition of Objects to Intelligent-Tiering in an S3 Bucket,"Some S3 lifecycle policies are configured to transition objects from Standard storage to Intelligent-Tiering after a fixed number of days (e.g., 30 days). This creates a delay where objects reside in S3 Standard, incurring higher storage costs without benefit. Since Intelligent-Tiering does not require prior access history and can be used immediately, it is often more efficient to place objects di",medium,published
CER-001070,aws,focus_storage,aws-ebs,Delete-on-Termination Disabled for EBS Volume,"When EC2 instances are provisioned, each attached EBS volume has a `DeleteOnTermination` flag that determines whether it will be deleted when the instance is terminated. If this flag is set to `false` — often unintentionally in custom launch templates, AMIs, or older automation scripts — volumes persist after termination, resulting in orphaned storage. While detached volumes are easy to detect and",medium,published
CER-004734,aws,focus_other,aws-eventbridge,Disabled Retry Policies in EventBridge,"By default, EventBridge includes retry mechanisms for delivery failures, particularly when targets like Lambda functions or Step Functions fail to process an event. However, if these retry policies are disabled or misconfigured, EventBridge may treat failed deliveries as successful, prompting upstream services to republish the same event multiple times in response to undelivered outcomes. This lea",medium,published
